reviewerID,product,overall,ReviewTime,ReviewDay,ITBin,userID,itemID,TDayCat
A6VPK7X53QNAQ,B0000CC64W,5.0,2009-06-18,1527,26,1041,0,384
A3CHMHGSJSQ02J,B0000CC64W,5.0,2013-01-18,2837,49,808,0,1407
A1V1EP514B5H7Y,B0000CC64W,5.0,2011-11-29,2421,42,279,0,1003
A1X2LENOF84LCQ,B0000CC64W,4.0,2005-04-13,0,0,301,0,0
A2PATWWZAXHQYA,B0000CC64W,1.0,2013-12-21,3174,55,582,0,1744
A3IOCPLIMYDBCD,B0000CC64W,5.0,2009-07-04,1543,27,879,0,399
A5A3C6XVDYUND,B0000CC64W,3.0,2013-02-18,2868,50,1027,0,1438
A3V6Z4RCDGRC44,B0000CC64W,4.0,2007-07-01,809,14,1003,0,1
A2WW57XX2UVLM6,B0000CC64W,4.0,2013-11-22,3145,55,662,0,1715
A3M7R4PD0FEPUB,B0000CC64W,5.0,2009-09-28,1629,28,920,0,439
A3QYDL5CDNYN66,B0000CC64W,5.0,2012-12-30,2818,49,964,0,1388
A3CG93783LP0FO,B0000CC64W,5.0,2010-07-22,1926,33,807,0,642
A2D1LPEUCTNT8X,B000142FVW,5.0,2011-10-23,2384,41,468,1,971
A2H44WVZS59KKT,B000142FVW,5.0,2012-12-12,2800,49,512,1,1370
A2ZY49IDE6TY5I,B000142FVW,5.0,2012-05-30,2604,45,693,1,1175
ANHL7BB84WJMF,B000142FVW,2.0,2014-05-16,3320,58,1221,1,1890
A1GUX6R8DV3ZLY,B000142FVW,5.0,2011-09-16,2347,41,148,1,945
A1PI8VBCXXSGC7,B000142FVW,4.0,2012-04-24,2568,45,234,1,1141
A3KEZLJ59C1JVH,B000142FVW,5.0,2011-09-28,2359,41,899,1,954
A1TPW86OHXTXFC,B000142FVW,4.0,2012-09-24,2721,47,264,1,1291
A1EHDVLCSOU57Q,B000142FVW,5.0,2012-01-16,2469,43,128,1,1051
A2YKWYC3WQJX5J,B000142FVW,3.0,2013-02-19,2869,50,684,1,1439
AXK3KYH8NQ9G2,B0009EILKS,5.0,2013-01-31,2850,49,1321,2,1420
AFM8HGCK7GHGB,B0009EILKS,5.0,2013-02-28,2878,50,1135,2,1448
A18QNMVRG08DU5,B0009EILKS,1.0,2013-03-06,2884,50,75,2,1454
A3F2VVIQIY6U64,B0009EILKS,4.0,2010-06-26,1900,33,840,2,623
ANVPLS56WCKL2,B0009EILKS,4.0,2013-01-24,2843,49,1225,2,1413
A1IHK8GL1ESOND,B0009EILKS,5.0,2013-03-11,2889,50,164,2,1459
A216NSW58Q3SCJ,B0009EILKS,5.0,2013-04-10,2919,51,348,2,1489
AJ2FDNZ3COBFN,B0009EILKS,3.0,2013-02-04,2854,50,1168,2,1424
A2FEM4XI55SY0W,B0009EILKS,4.0,2013-02-23,2873,50,489,2,1443
AEL6CQNQXONBX,B0009EILKS,5.0,2009-10-03,1634,28,1123,2,440
A3U5CZ3PV82JXD,B0009EILKS,5.0,2013-01-31,2850,49,995,2,1420
A2LW5AL0KQ9P1M,B0009EILKS,5.0,2013-01-18,2837,49,550,2,1407
AKMEY1BSHSDG7,B0009EILKS,5.0,2013-01-24,2843,49,1187,2,1413
AYB4ELCS5AM8P,B0009EILKS,5.0,2011-02-13,2132,37,1327,2,787
A2JCJJNY43QQIV,B0009EILKS,5.0,2013-02-21,2871,50,533,2,1441
A1501C38OCSEMA,B0009EILKS,1.0,2013-02-07,2857,50,47,2,1427
A2V55J9CCQCOG0,B0009EILKS,5.0,2013-02-18,2868,50,644,2,1438
A3W4D8XOGLWUN5,B0009EILKS,4.0,2010-11-01,2028,35,1013,2,712
A1FPQ54AIB26L0,B0009EILKS,5.0,2013-03-03,2881,50,141,2,1451
A1XEZIHQIUAOR1,B0009EILKS,4.0,2013-03-21,2899,50,307,2,1469
AXHETL0M8XZPT,B0009EILKS,5.0,2013-01-29,2848,49,1319,2,1418
AKCCXEWXJ0VIW,B0009EILKS,4.0,2013-04-01,2910,51,1181,2,1480
